WORD ENTROPY DISPERSION STD CONCRETENESS
mad N/A N/A N/A 2.76
date N/A N/A N/A 3.9
dove N/A N/A N/A 4.88
grow N/A N/A N/A 3.03
man N/A N/A N/A 4.79
classroom 222.641383203 0.185138561752 0.75929 4.76
waist N/A N/A N/A 4.72
liquid N/A N/A N/A 4.72
candles N/A N/A N/A N/A
beehive N/A N/A N/A 4.93
jail N/A N/A N/A 4.83
deposit N/A N/A N/A 3.92
verify N/A N/A N/A 2.1
basket N/A N/A N/A 5
tall N/A N/A N/A 3.36
cute N/A N/A N/A 2.76
shoes N/A N/A N/A N/A
rabbi N/A N/A N/A 4.64
colt 190.685080315 0.144482222681 0.87492 4.96
haircut N/A N/A N/A 4.77
canary N/A N/A N/A 4.63
entity N/A N/A N/A 2.68
course N/A N/A N/A 3.82
cold N/A N/A N/A 3.85
birds N/A N/A N/A N/A
police N/A N/A N/A 4.79
thumb N/A N/A N/A 4.96
accordion 252.250013152 0.191153388518 0.8978 4.86
willow N/A N/A N/A 4.35
cheerleaders 229.964003555 0.185446963202 0.82788 N/A
chickadee 178.763752716 0.133253710878 0.85581 4.52
maid 256.531918218 0.190657212614 0.81631 4.64
window 154.134565289 0.136232836484 0.63322 4.86
listing N/A N/A N/A 3.15
apron N/A N/A N/A 4.87
chimp 220.39892315 0.165023360703 0.85334 4.96
rake N/A N/A N/A 4.84
nation N/A N/A N/A 3.62
lunch N/A N/A N/A 4.31
cheetah 180.589785863 0.146028462695 0.79975 4.7
son N/A N/A N/A 4.14
hall 242.079274723 0.190306168806 0.84973 4.67
possess N/A N/A N/A 2.6
wagon 166.326053465 0.14818077013 0.62907 4.89
term N/A N/A N/A 2.82
equality N/A N/A N/A 1.41
organ 195.147053196 0.171015102411 0.84621 4.77
opera 206.083787435 0.163398432643 0.80367 4.28
cognition N/A N/A N/A 1.79
ashtray 297.474420447 0.207093432226 0.9575 4.97
jellyfish 215.610110349 0.169314184106 0.86842 4.93
rock N/A N/A N/A 4.91
turtle N/A N/A N/A 5
square N/A N/A N/A 4.33
goose N/A N/A N/A 4.81
zebra 180.566256368 0.144200567073 0.84517 4.86
beetle N/A N/A N/A 4.83
girl N/A N/A N/A 4.85
sunrise N/A N/A N/A 4.69
hysteria N/A N/A N/A 2.86
living N/A N/A N/A 3.04
accomplish N/A N/A N/A 2.33
jackson N/A N/A N/A N/A
space N/A N/A N/A 3.54
profit N/A N/A N/A 3.07
factory 255.390553521 0.192124921034 0.82224 4.76
investigation N/A N/A N/A 2.52
internet 251.405675515 0.19464654547 0.80779 3.64
formula N/A N/A N/A 4.11
dominate N/A N/A N/A 2.12
eagle N/A N/A N/A 5
theory N/A N/A N/A 1.47
cart N/A N/A N/A 4.89
virtuoso N/A N/A N/A 2.85
vinyl N/A N/A N/A 4.54
accommodation N/A N/A N/A 2.96
card N/A N/A N/A 4.9
language N/A N/A N/A 2.35
ministry N/A N/A N/A 3.21
tomahawk N/A N/A N/A 4.83
punk N/A N/A N/A 3.1
ostrich 229.075555441 0.173724817006 0.94955 4.71
person N/A N/A N/A 4.72
place N/A N/A N/A 3.48
vision N/A N/A N/A 3.39
swing N/A N/A N/A 4.54
view N/A N/A N/A 3.21
think N/A N/A N/A 2.41
emotion N/A N/A N/A 2.44
